analyte, tR_T1_G1, tR_T1_G2, tR_T2_G1, tR_T2_G2, w_T1_G1, w_T1_G2, w_T2_G1, w_T2_G2, A_T1_G1, A_T1_G2, A_T2_G1, A_T2_G2, area
lip conj ASO, 1.530, 2.200, 1.680, 2.680, 0.0700, 0.1400, 0.0600, 0.1300, 1.45, 1.40, 1.25, 1.21, 93148.0
dT 15, 2.410, 4.390, 2.270, 4.100, 0.0700, 0.1400, 0.0700, 0.1300, 1.21, 1.20, 1.12, 1.11, 50000.0
dT 20, 2.680, 5.170, 2.520, 4.850, 0.0900, 0.1500, 0.0900, 0.1400, 1.20, 1.18, 1.15, 1.12, 50000.0
dT 25, 2.860, 5.720, 2.700, 5.360, 0.0700, 0.1400, 0.0700, 0.1300, 1.20, 1.17, 1.12, 1.10, 50000.0
ssDNA 20, 2.730, 5.320, 2.750, 5.450, 0.0700, 0.1300, 0.0700, 0.1300, 1.25, 1.23, 1.15, 1.12, 139787.0
dT 30, 3.000, 6.130, 2.830, 5.740, 0.0800, 0.1400, 0.0800, 0.1400, 1.25, 1.21, 1.17, 1.13, 50000.0
dT 35, 3.100, 6.440, 2.930, 6.030, 0.0800, 0.1400, 0.0800, 0.1400, 1.10, 1.10, 1.07, 1.04, 50000.0
siRNA, 3.330, 7.000, 3.000, 6.110, 0.0800, 0.1400, 0.0800, 0.1400, 1.12, 1.10, 1.10, 1.08, 205405.0
ssDNA 80, 3.500, 7.640, 3.470, 7.620, 0.0800, 0.1400, 0.0800, 0.1400, 1.32, 1.30, 1.22, 1.20, 87545.0
