analyte, tR_T1_G1, tR_T1_G2, tR_T2_G1, tR_T2_G2, w_T1_G1, w_T1_G2, w_T2_G1, w_T2_G2, A_T1_G1, A_T1_G2, A_T2_G1, A_T2_G2, area
ketoprofen, 1.428, 1.752, 1.134, 1.292, 0.0268, 0.0398, 0.0240, 0.0268, 1.08, 1.08, 1.04, 1.00, 203749.0
cetrizine, 1.242, 1.549, 1.134, 1.354, 0.0220, 0.0329, 0.0200, 0.0271, 1.08, 1.11, 1.04, 1.00, 60872.0
amlodipine, 1.636, 2.225, 1.457, 1.855, 0.0448, 0.0767, 0.0398, 0.0629, 1.52, 1.64, 1.67, 2.10, 150014.0
cilostazol, 1.803, 2.516, 1.578, 2.056, 0.0274, 0.0455, 0.0224, 0.0355, 1.16, 1.20, 1.05, 1.14, 73813.0
nifedipine, 1.944, 2.615, 1.700, 2.159, 0.0302, 0.0501, 0.0247, 0.0380, 1.12, 1.12, 1.05, 1.04, 122087.0
chlorpomazine, 2.119, 3.071, 1.801, 2.407, 0.0677, 0.1218, 0.0578, 0.0959, 1.76, 1.89, 2.01, 2.22, 207125.0
