analyte, tR_T1_G1, tR_T1_G2, tR_T2_G1, tR_T2_G2, w_T1_G1, w_T1_G2, w_T2_G1, w_T2_G2, A_T1_G1, A_T1_G2, A_T2_G1, A_T2_G2, area
Imp F, 2.039, 2.856, 2.039, 2.821, 0.0371, 0.0563, 0.0329, 0.0505, 1.29, 1.3, 1.18, 1.19, 66350
Imp A, 2.291, 3.603, 2.322, 3.613, 0.037, 0.0557, 0.0325, 0.0509, 1.2, 1.44, 1.15, 1.25, 135701
Imp G, 2.311, 3.726, 2.315, 3.613, 0.036, 0.0537, 0.0325, 0.0509, 1.2, 1.23, 1.15, 1.25, 142613
Imp C, 2.435, 4.043, 2.383, 3.791, 0.037, 0.0525, 0.0324, 0.0486, 1.2, 1.12, 1.15, 1.09, 64813
Imp E, 2.468, 4.187, 2.453, 4.034, 0.037, 0.0556, 0.0318, 0.0506, 1.25, 1.26, 1.13, 1.21, 85291
Cetirizine, 2.549, 4.349, 2.518, 4.147, 0.0328, 0.0559, 0.0319, 0.0577, 1.12, 1.31, 1.12, 1.44, 888272
Imp B, 2.743, 4.761, 2.734, 4.597, 0.0343, 0.0549, 0.0317, 0.0518, 1.07, 1.06, 1.03, 1.0, 116367
Imp D, 4.158, 8.853, 4.409, 9.294, 0.0401, 0.0764, 0.0377, 0.0733, 1.01, 1.03, 0.95, 1.0, 209536
