analyte, tR_T1_G1, tR_T1_G2, tR_T2_G1, tR_T2_G2, w_T1_G1, w_T1_G2, w_T2_G1, w_T2_G2, A_T1_G1, A_T1_G2, A_T2_G1, A_T2_G2, area
a, 1.450, 2.200, 1.180, 1.490, 0.0700, 0.0900, 0.0600, 0.0900, 1.40, 1.32, 1.35, 1.31, 11203292.0
b, 1.610, 2.620, 1.310, 1.810, 0.0700, 0.0900, 0.0600, 0.0900, 1.10, 1.10, 1.10, 1.10, 781487.0
c, 1.710, 2.900, 1.420, 2.080, 0.0700, 0.0900, 0.0700, 0.0900, 1.20, 1.18, 1.15, 1.12, 503108.0
d, 1.800, 3.180, 1.520, 2.350, 0.0700, 0.1000, 0.0700, 0.0900, 1.50, 1.41, 1.42, 1.38, 7160547.0
e, 2.130, 4.050, 1.830, 3.130, 0.0800, 0.0900, 0.0600, 0.0900, 1.00, 1.00, 1.00, 1.00, 806164.0
f, 3.850, 9.170, 3.580, 8.340, 0.0800, 0.1000, 0.0800, 0.0900, 1.00, 1.00, 1.00, 1.00, 1576015.0
g, 4.040, 9.670, 3.760, 8.830, 0.0900, 0.1000, 0.0900, 0.0900, 1.70, 1.60, 1.50, 1.40, 21245020.0
h, 4.120, 9.940, 3.850, 9.110, 0.0700, 0.1000, 0.0800, 0.1000, 1.00, 1.00, 1.00, 1.00, 793000.0
