analyte, tR_T1_G1, tR_T1_G2, tR_T2_G1, tR_T2_G2, w_T1_G1, w_T1_G2, w_T2_G1, w_T2_G2, A_T1_G1, A_T1_G2, A_T2_G1, A_T2_G2, area
Amlodipine, 1.164, 2.057, 1.213, 1.747, 0.03135, 0.0483, 0.0288, 0.04455, 1.12, 1.11, 1.12, 1.15, 88704
Imp A, 2.67, 5.372, 2.421, 4.766, 0.0375, 0.06555, 0.03285, 0.0597, 1.14, 1.09, 1.1, 1.09, 93995
Imp B, 1.679, 2.887, 1.634, 2.744, 0.0321, 0.0501, 0.0285, 0.04785, 1.12, 1.11, 1.14, 1.11, 73225
Imp D, 1.05, 1.499, 0.998, 1.265, 0.03165, 0.0477, 0.02955, 0.04395, 1.11, 1.1, 1.1, 1.13, 24707
Imp E, 1.33, 2.49, 1.39, 2.177, 0.0321, 0.04995, 0.02895, 0.04605, 1.09, 1.11, 1.13, 1.13, 50641
Imp F, 1.504, 1.648, 1.04, 1.359, 0.0315, 0.04755, 0.0294, 0.0441, 1.11, 1.11, 1.1, 1.12, 48171
Imp G, 1.789, 3.002, 4.634, 2.602, 0.04095, 0.05835, 0.0285, 0.0531, 1.04, 1.09, 1.14, 1.1, 88928
Imp H, 1.789, 3.174, 1.681, 2.9, 0.04095, 0.0534, 0.03045, 0.0495, 1.04, 1.19, 1.14, 1.15, 50481
